accuracy,f1_score,log_loss,fpr,tpr,auc,preprocess_time,training_time,prediction_time,model_size,n_samples,n_features,enery_prep,energy_train,energy_pred
0.90744920993228,0.9341894060995185,0.2765063977091289,"[0.         0.         0.         0.00699301 0.00699301 0.01398601
 0.01398601 0.02097902 0.02097902 0.02797203 0.02797203 0.03496503
 0.03496503 0.04195804 0.04195804 0.04895105 0.04895105 0.05594406
 0.05594406 0.06293706 0.06293706 0.06993007 0.06993007 0.07692308
 0.07692308 0.08391608 0.08391608 0.09090909 0.09090909 0.0979021
 0.0979021  0.1048951  0.1048951  0.11888112 0.11888112 0.12587413
 0.12587413 0.13986014 0.13986014 0.14685315 0.14685315 0.15384615
 0.15384615 0.16783217 0.16783217 0.17482517 0.17482517 0.18181818
 0.18181818 0.18881119 0.18881119 0.2027972  0.2027972  0.20979021
 0.20979021 0.21678322 0.21678322 0.22377622 0.22377622 0.23076923
 0.23076923 0.29370629 0.29370629 0.31468531 0.31468531 0.32167832
 0.32167832 0.34265734 0.34265734 0.46853147 0.46853147 0.65034965
 0.65034965 0.93706294 0.93706294 1.        ]","[0.         0.00333333 0.13333333 0.13333333 0.14       0.14
 0.46666667 0.46666667 0.47666667 0.47666667 0.51333333 0.51333333
 0.56333333 0.56333333 0.58333333 0.58333333 0.63333333 0.63333333
 0.67       0.67       0.67666667 0.67666667 0.74666667 0.74666667
 0.78       0.78       0.8        0.8        0.81333333 0.81333333
 0.82666667 0.82666667 0.83       0.83       0.84       0.84
 0.87333333 0.87333333 0.89       0.89       0.9        0.9
 0.90333333 0.90333333 0.91333333 0.91333333 0.91666667 0.91666667
 0.93666667 0.93666667 0.94333333 0.94333333 0.94666667 0.94666667
 0.95333333 0.95333333 0.97       0.97       0.97333333 0.97333333
 0.97666667 0.97666667 0.98       0.98       0.98333333 0.98333333
 0.98666667 0.98666667 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.9394871794871795,0.030030250549316406,7.739952087402344,0.6145040988922119,486114,3981,36,1.6077788494870405e-07,3.768999223434496e-05,2.9855152844043037e-06
0.8600451467268623,0.9025157232704403,0.34540186818225166,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.15492958 0.15492958 0.16197183 0.16197183 0.16901408
 0.16901408 0.17605634 0.17605634 0.18309859 0.18309859 0.23239437
 0.23239437 0.24647887 0.24647887 0.26760563 0.26760563 0.27464789
 0.27464789 0.29577465 0.29577465 0.3028169  0.3028169  0.31690141
 0.31690141 0.33802817 0.33802817 0.36619718 0.36619718 0.37323944
 0.37323944 0.44366197 0.44366197 0.47183099 0.47183099 0.47887324
 0.47887324 0.5        0.5        0.57042254 0.57042254 0.71126761
 0.71126761 1.        ]","[0.         0.00332226 0.06312292 0.06312292 0.0730897  0.0730897
 0.09302326 0.09302326 0.22923588 0.22923588 0.31229236 0.31229236
 0.31561462 0.31561462 0.35880399 0.35880399 0.36212625 0.36212625
 0.43853821 0.43853821 0.45182724 0.45182724 0.45847176 0.45847176
 0.50830565 0.50830565 0.63787375 0.63787375 0.64784053 0.64784053
 0.65116279 0.65116279 0.71760797 0.71760797 0.75747508 0.75747508
 0.78737542 0.78737542 0.81395349 0.81395349 0.82059801 0.82059801
 0.82724252 0.82724252 0.83388704 0.83388704 0.86378738 0.86378738
 0.87043189 0.87043189 0.87707641 0.87707641 0.88704319 0.88704319
 0.90033223 0.90033223 0.91694352 0.91694352 0.9269103  0.9269103
 0.93355482 0.93355482 0.93687708 0.93687708 0.94019934 0.94019934
 0.95016611 0.95016611 0.95681063 0.95681063 0.96345515 0.96345515
 0.96677741 0.96677741 0.97342193 0.97342193 0.97674419 0.97674419
 0.98671096 0.98671096 0.99003322 0.99003322 0.99667774 0.99667774
 1.         1.        ]",0.8982967572879136,0.037899017333984375,7.012948036193848,0.5650238990783691,481494,3981,36,1.8094155046758547e-07,3.414022363298436e-05,2.72396008558179e-06
0.8871331828442438,0.9203821656050956,0.2843918761802652,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.06338028
 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11971831 0.11971831 0.12676056 0.12676056 0.13380282
 0.13380282 0.14084507 0.14084507 0.14788732 0.14788732 0.16197183
 0.16197183 0.16901408 0.16901408 0.18309859 0.18309859 0.20422535
 0.20422535 0.21830986 0.21830986 0.22535211 0.22535211 0.24647887
 0.24647887 0.25352113 0.25352113 0.26056338 0.26056338 0.26760563
 0.26760563 0.28873239 0.28873239 0.31690141 0.31690141 0.33098592
 0.33098592 0.34507042 0.34507042 0.35211268 0.35211268 0.38028169
 0.38028169 0.4084507  0.4084507  0.42957746 0.42957746 0.47183099
 0.47183099 1.        ]","[0.         0.00332226 0.19269103 0.19269103 0.3089701  0.3089701
 0.43521595 0.43521595 0.45182724 0.45182724 0.55481728 0.55481728
 0.58803987 0.58803987 0.62458472 0.62458472 0.68438538 0.68438538
 0.73089701 0.73089701 0.73421927 0.73421927 0.75747508 0.75747508
 0.78737542 0.78737542 0.80066445 0.80066445 0.80398671 0.80398671
 0.80730897 0.80730897 0.81727575 0.81727575 0.82059801 0.82059801
 0.8538206  0.8538206  0.88372093 0.88372093 0.89368771 0.89368771
 0.91694352 0.91694352 0.92358804 0.92358804 0.9269103  0.9269103
 0.93023256 0.93023256 0.93687708 0.93687708 0.94352159 0.94352159
 0.94684385 0.94684385 0.95016611 0.95016611 0.95348837 0.95348837
 0.96013289 0.96013289 0.96345515 0.96345515 0.96677741 0.96677741
 0.97009967 0.97009967 0.97342193 0.97342193 0.98006645 0.98006645
 0.9833887  0.9833887  0.99335548 0.99335548 0.99667774 0.99667774
 1.         1.        ]",0.9389827336109681,0.036041259765625,7.351000785827637,0.6310474872589111,485806,3981,36,1.4554147416940915e-07,3.5835949458909075e-05,3.0478858035762547e-06
0.8781038374717833,0.9145569620253163,0.29609241998315045,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.0915493
 0.0915493  0.09859155 0.09859155 0.11267606 0.11267606 0.12676056
 0.12676056 0.13380282 0.13380282 0.14788732 0.14788732 0.15492958
 0.15492958 0.16197183 0.16197183 0.16901408 0.16901408 0.1971831
 0.1971831  0.21126761 0.21126761 0.22535211 0.22535211 0.23239437
 0.23239437 0.23943662 0.23943662 0.24647887 0.24647887 0.26056338
 0.26056338 0.27464789 0.27464789 0.30985915 0.30985915 0.31690141
 0.31690141 0.32394366 0.32394366 0.37323944 0.37323944 0.38732394
 0.38732394 0.4084507  0.4084507  0.48591549 0.48591549 0.87323944
 0.87323944 1.        ]","[0.         0.00332226 0.14950166 0.14950166 0.20598007 0.20598007
 0.35880399 0.35880399 0.43189369 0.43189369 0.46511628 0.46511628
 0.63122924 0.63122924 0.75415282 0.75415282 0.76744186 0.76744186
 0.78405316 0.78405316 0.80398671 0.80398671 0.82059801 0.82059801
 0.82724252 0.82724252 0.83388704 0.83388704 0.84053156 0.84053156
 0.86046512 0.86046512 0.86710963 0.86710963 0.87043189 0.87043189
 0.87375415 0.87375415 0.87707641 0.87707641 0.88372093 0.88372093
 0.88704319 0.88704319 0.90697674 0.90697674 0.92026578 0.92026578
 0.93023256 0.93023256 0.93355482 0.93355482 0.94684385 0.94684385
 0.95016611 0.95016611 0.96013289 0.96013289 0.96345515 0.96345515
 0.96677741 0.96677741 0.97342193 0.97342193 0.97674419 0.97674419
 0.9833887  0.9833887  0.99003322 0.99003322 0.99667774 0.99667774
 1.         1.        ]",0.9370642459407609,0.040010690689086914,7.556917190551758,0.6110436916351318,486730,3981,36,1.566069271485566e-07,3.6835747389938765e-05,2.926187015436603e-06
0.8552036199095022,0.8977635782747604,0.3845800202804806,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.09859155 0.09859155 0.1056338
 0.1056338  0.11971831 0.11971831 0.12676056 0.12676056 0.13380282
 0.13380282 0.14788732 0.14788732 0.16197183 0.16197183 0.16901408
 0.16901408 0.17605634 0.17605634 0.18309859 0.18309859 0.19014085
 0.19014085 0.1971831  0.1971831  0.20422535 0.20422535 0.21126761
 0.21126761 0.22535211 0.22535211 0.23239437 0.23239437 0.23943662
 0.23943662 0.24647887 0.24647887 0.25352113 0.25352113 0.26056338
 0.26056338 0.26760563 0.26760563 0.28169014 0.28169014 0.28873239
 0.28873239 0.3028169  0.3028169  0.31690141 0.31690141 0.32394366
 0.32394366 0.33802817 0.33802817 0.34507042 0.34507042 0.36619718
 0.36619718 0.38028169 0.38028169 0.4084507  0.4084507  0.52816901
 0.52816901 0.65492958 0.65492958 0.66197183 0.66197183 0.66901408
 0.66901408 0.6971831  0.6971831  0.74647887 0.74647887 0.88732394
 0.88732394 1.        ]","[0.         0.00333333 0.15333333 0.15333333 0.18333333 0.18333333
 0.2        0.2        0.23333333 0.23333333 0.24       0.24
 0.34       0.34       0.4        0.4        0.42333333 0.42333333
 0.47       0.47       0.53       0.53       0.58666667 0.58666667
 0.59       0.59       0.68666667 0.68666667 0.69       0.69
 0.69333333 0.69333333 0.7        0.7        0.70333333 0.70333333
 0.71       0.71       0.72       0.72       0.73333333 0.73333333
 0.73666667 0.73666667 0.74666667 0.74666667 0.78333333 0.78333333
 0.83       0.83       0.83666667 0.83666667 0.84       0.84
 0.84333333 0.84333333 0.85       0.85       0.86       0.86
 0.86666667 0.86666667 0.87       0.87       0.88       0.88
 0.88666667 0.88666667 0.89666667 0.89666667 0.9        0.9
 0.93       0.93       0.93333333 0.93333333 0.93666667 0.94
 0.94333333 0.94333333 0.94666667 0.94666667 0.95       0.95
 0.96       0.96       0.96333333 0.96333333 0.96666667 0.96666667
 0.97       0.97       0.97333333 0.97333333 0.98       0.98
 0.98666667 0.98666667 0.99333333 0.99333333 0.99666667 0.99666667
 1.         1.        ]",0.8870774647887324,0.036003828048706055,7.038102626800537,0.5680093765258789,467634,3982,36,1.4715088655122954e-07,3.4276346731505834e-05,2.750657665560966e-06
0.8597285067873304,0.9028213166144201,0.3429520169552162,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04929577 0.04929577 0.05633803 0.05633803 0.06338028
 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479 0.08450704
 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155 0.1056338
 0.1056338  0.11267606 0.11267606 0.11971831 0.11971831 0.12676056
 0.12676056 0.14084507 0.14084507 0.14788732 0.14788732 0.16197183
 0.16197183 0.17605634 0.17605634 0.18309859 0.18309859 0.19014085
 0.19014085 0.1971831  0.1971831  0.22535211 0.22535211 0.23239437
 0.23239437 0.25352113 0.25352113 0.26056338 0.26056338 0.26760563
 0.26760563 0.27464789 0.27464789 0.3028169  0.3028169  0.30985915
 0.30985915 0.32394366 0.32394366 0.33802817 0.33802817 0.35211268
 0.35211268 0.37323944 0.37323944 0.38732394 0.38732394 0.40140845
 0.40140845 0.43661972 0.43661972 0.45774648 0.45774648 0.47887324
 0.47887324 0.56338028 0.56338028 0.57746479 0.57746479 0.58450704
 0.58450704 0.80985915 0.80985915 1.        ]","[0.         0.00333333 0.01666667 0.01666667 0.23333333 0.23333333
 0.30333333 0.30333333 0.42       0.42       0.45666667 0.45666667
 0.55       0.55       0.56666667 0.56666667 0.59333333 0.59333333
 0.67333333 0.67333333 0.7        0.7        0.70333333 0.70333333
 0.72       0.72       0.72666667 0.72666667 0.73333333 0.73333333
 0.74333333 0.74333333 0.74666667 0.74666667 0.76333333 0.76333333
 0.76666667 0.76666667 0.78333333 0.78333333 0.78666667 0.78666667
 0.79333333 0.79333333 0.8        0.8        0.82       0.82
 0.82333333 0.82333333 0.86       0.86       0.87       0.87
 0.87666667 0.87666667 0.88333333 0.88333333 0.89333333 0.89333333
 0.90333333 0.90333333 0.93666667 0.93666667 0.94       0.94
 0.94666667 0.94666667 0.95       0.95       0.95333333 0.95333333
 0.96       0.96       0.96666667 0.96666667 0.97333333 0.97333333
 0.97666667 0.97666667 0.98       0.98       0.98333333 0.98333333
 0.98666667 0.98666667 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.9110328638497653,0.03596663475036621,7.207941293716431,0.73103928565979,481186,3982,36,1.5195660147169316e-07,3.515744330820963e-05,3.5603259095910624e-06
0.8619909502262444,0.9027113237639552,0.361011312111759,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.03521127 0.03521127 0.04225352 0.04225352 0.04929577
 0.04929577 0.05633803 0.05633803 0.06338028 0.06338028 0.07042254
 0.07042254 0.07746479 0.07746479 0.08450704 0.08450704 0.0915493
 0.0915493  0.09859155 0.09859155 0.11971831 0.11971831 0.12676056
 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507 0.14788732
 0.14788732 0.15492958 0.15492958 0.16197183 0.16197183 0.16901408
 0.16901408 0.18309859 0.18309859 0.19014085 0.19014085 0.1971831
 0.1971831  0.20422535 0.20422535 0.21830986 0.21830986 0.22535211
 0.22535211 0.23239437 0.23239437 0.23943662 0.23943662 0.25352113
 0.25352113 0.26056338 0.26056338 0.28873239 0.28873239 0.29577465
 0.29577465 0.3028169  0.3028169  0.30985915 0.30985915 0.31690141
 0.31690141 0.33098592 0.33098592 0.33802817 0.33802817 0.35915493
 0.35915493 0.38732394 0.38732394 0.3943662  0.3943662  0.44366197
 0.44366197 0.51408451 0.51408451 0.56338028 0.56338028 0.71126761
 0.71126761 0.71830986 0.71830986 1.        ]","[0.         0.00333333 0.03       0.03       0.18666667 0.18666667
 0.19333333 0.19333333 0.31       0.31       0.32333333 0.32333333
 0.34       0.34       0.34666667 0.34666667 0.38       0.38
 0.39333333 0.39333333 0.47       0.47       0.47666667 0.47666667
 0.54666667 0.54666667 0.55333333 0.55333333 0.56       0.56
 0.59       0.59       0.63666667 0.63666667 0.67333333 0.67333333
 0.68333333 0.68333333 0.72666667 0.72666667 0.75       0.75
 0.77666667 0.77666667 0.80666667 0.80666667 0.81333333 0.81333333
 0.85666667 0.85666667 0.86       0.86       0.86333333 0.86333333
 0.86666667 0.86666667 0.87666667 0.87666667 0.88       0.88
 0.88333333 0.88333333 0.89666667 0.89666667 0.9        0.9
 0.91333333 0.91333333 0.92666667 0.92666667 0.94333333 0.94666667
 0.95       0.95       0.95666667 0.95666667 0.96666667 0.96666667
 0.97       0.97       0.98       0.98       0.98333333 0.98333333
 0.98666667 0.98666667 0.99       0.99       0.99333333 0.99333333
 0.99666667 0.99666667 1.         1.        ]",0.8809037558685445,0.0419621467590332,7.032972812652588,0.6200094223022461,478414,3982,36,1.6501296196049387e-07,3.4184503750694706e-05,2.921603214916515e-06
0.8461538461538461,0.8920634920634921,0.33781359837993924,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127
 0.03521127 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803
 0.05633803 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479
 0.07746479 0.0915493  0.0915493  0.09859155 0.09859155 0.11267606
 0.11267606 0.11971831 0.11971831 0.13380282 0.13380282 0.14084507
 0.14084507 0.14788732 0.14788732 0.16197183 0.16197183 0.16901408
 0.16901408 0.18309859 0.18309859 0.19014085 0.19014085 0.1971831
 0.1971831  0.20422535 0.20422535 0.21126761 0.21126761 0.23239437
 0.23239437 0.23943662 0.23943662 0.24647887 0.24647887 0.26760563
 0.26760563 0.28873239 0.28873239 0.3028169  0.3028169  0.34507042
 0.34507042 0.35915493 0.35915493 0.37323944 0.37323944 0.38028169
 0.38028169 0.38732394 0.38732394 0.4084507  0.4084507  0.44366197
 0.44366197 0.51408451 0.51408451 0.83098592 0.83098592 1.        ]","[0.         0.00333333 0.02       0.02       0.29333333 0.29333333
 0.36333333 0.36333333 0.37666667 0.37666667 0.48333333 0.48333333
 0.55333333 0.55333333 0.57333333 0.57333333 0.64333333 0.64333333
 0.68333333 0.68333333 0.69666667 0.69666667 0.71666667 0.71666667
 0.74       0.74       0.76333333 0.76333333 0.77333333 0.77333333
 0.79333333 0.79333333 0.81333333 0.81333333 0.82       0.82
 0.82666667 0.82666667 0.83       0.83       0.84       0.84
 0.85333333 0.85333333 0.87       0.87       0.87333333 0.87333333
 0.87666667 0.87666667 0.89666667 0.89666667 0.9        0.9
 0.90333333 0.90333333 0.91666667 0.91666667 0.92333333 0.92333333
 0.92666667 0.92666667 0.93       0.93       0.93333333 0.93333333
 0.93666667 0.93666667 0.94333333 0.94333333 0.95       0.95
 0.95333333 0.95333333 0.95666667 0.95666667 0.96666667 0.96666667
 0.99       0.99       0.99333333 0.99333333 1.         1.        ]",0.9188732394366197,0.0409541130065918,7.309729337692261,0.6280980110168457,483034,3982,36,1.3094236481751452e-07,3.5592881426982164e-05,3.009614223997237e-06
0.8733031674208145,0.9111111111111112,0.33032361114000613,"[0.         0.         0.         0.00704225 0.00704225 0.01408451
 0.01408451 0.02112676 0.02112676 0.04225352 0.04225352 0.04929577
 0.04929577 0.05633803 0.05633803 0.07042254 0.07042254 0.07746479
 0.07746479 0.08450704 0.08450704 0.09859155 0.09859155 0.1056338
 0.1056338  0.11971831 0.11971831 0.12676056 0.12676056 0.14084507
 0.14084507 0.14788732 0.14788732 0.16197183 0.16197183 0.16901408
 0.16901408 0.17605634 0.17605634 0.18309859 0.18309859 0.19014085
 0.19014085 0.1971831  0.1971831  0.21830986 0.21830986 0.22535211
 0.22535211 0.23239437 0.23239437 0.25352113 0.25352113 0.27464789
 0.27464789 0.28169014 0.28169014 0.28873239 0.28873239 0.29577465
 0.29577465 0.3028169  0.30985915 0.33802817 0.33802817 0.38028169
 0.38028169 0.47887324 0.47887324 0.52816901 0.52816901 0.53521127
 0.53521127 0.55633803 0.55633803 0.57746479 0.57746479 0.5915493
 0.5915493  0.65492958 0.65492958 0.71126761 0.71126761 0.83098592
 0.83098592 1.        ]","[0.         0.00333333 0.27666667 0.27666667 0.31666667 0.31666667
 0.35333333 0.35333333 0.40666667 0.40666667 0.47666667 0.47666667
 0.55333333 0.55333333 0.62666667 0.62666667 0.65       0.65
 0.71666667 0.71666667 0.74666667 0.74666667 0.75333333 0.75333333
 0.77666667 0.77666667 0.8        0.8        0.83333333 0.83333333
 0.86666667 0.86666667 0.87666667 0.87666667 0.88       0.88
 0.88666667 0.88666667 0.89       0.89       0.90333333 0.90333333
 0.91666667 0.91666667 0.92333333 0.92333333 0.92666667 0.92666667
 0.93       0.93       0.93666667 0.93666667 0.94       0.94
 0.94333333 0.94333333 0.94666667 0.94666667 0.95       0.95
 0.95666667 0.95666667 0.96       0.96       0.96333333 0.96333333
 0.97       0.97       0.97333333 0.97333333 0.97666667 0.97666667
 0.98       0.98       0.98333333 0.98333333 0.98666667 0.98666667
 0.99       0.99       0.99333333 0.99333333 0.99666667 0.99666667
 1.         1.        ]",0.9214436619718311,0.03694486618041992,7.067940711975098,0.5999975204467773,481494,3982,36,1.5116513125658848e-07,3.444748306212519e-05,2.8634523303588543e-06
0.8733031674208145,0.9108280254777071,0.33744635114965404,"[0.         0.         0.00704225 0.00704225 0.01408451 0.01408451
 0.02112676 0.02112676 0.02816901 0.02816901 0.03521127 0.03521127
 0.04225352 0.04225352 0.04929577 0.04929577 0.05633803 0.05633803
 0.06338028 0.06338028 0.07042254 0.07042254 0.07746479 0.07746479
 0.08450704 0.08450704 0.0915493  0.0915493  0.09859155 0.09859155
 0.1056338  0.1056338  0.11267606 0.11267606 0.11971831 0.11971831
 0.12676056 0.12676056 0.13380282 0.13380282 0.14084507 0.14084507
 0.14788732 0.14788732 0.15492958 0.15492958 0.16197183 0.16197183
 0.16901408 0.16901408 0.17605634 0.17605634 0.18309859 0.18309859
 0.19014085 0.19014085 0.1971831  0.1971831  0.21126761 0.21126761
 0.21830986 0.21830986 0.22535211 0.22535211 0.23239437 0.23239437
 0.25352113 0.25352113 0.27464789 0.27464789 0.28169014 0.28169014
 0.29577465 0.29577465 0.31690141 0.31690141 0.32394366 0.32394366
 0.34507042 0.34507042 0.35211268 0.35211268 0.38028169 0.38028169
 0.45070423 0.45070423 0.54225352 0.54225352 0.54929577 0.54929577
 0.71126761 0.71126761 0.92253521 0.92253521 1.        ]","[0.         0.00333333 0.00333333 0.05333333 0.05333333 0.11
 0.11       0.12333333 0.12333333 0.13666667 0.13666667 0.18
 0.18       0.2        0.2        0.23       0.23       0.25333333
 0.25333333 0.33666667 0.33666667 0.41666667 0.41666667 0.43
 0.43       0.55       0.55       0.55333333 0.55333333 0.62333333
 0.62333333 0.67       0.67       0.70666667 0.70666667 0.71333333
 0.71333333 0.71666667 0.71666667 0.79       0.79       0.81
 0.81       0.82       0.82       0.83666667 0.83666667 0.86666667
 0.86666667 0.87       0.87       0.88       0.88       0.9
 0.9        0.91       0.91       0.91333333 0.91333333 0.92
 0.92       0.92666667 0.92666667 0.93       0.93       0.93333333
 0.93333333 0.93666667 0.93666667 0.94       0.94       0.94666667
 0.94666667 0.96       0.96       0.96666667 0.96666667 0.97333333
 0.97333333 0.97666667 0.97666667 0.98       0.98       0.98333333
 0.98333333 0.98666667 0.98666667 0.99       0.99       0.99333333
 0.99333333 0.99666667 0.99666667 1.         1.        ]",0.8929342723004694,0.03343605995178223,7.270007848739624,0.5779268741607666,482110,3982,36,1.419544032972217e-07,3.5481510608819245e-05,2.7794195036082918e-06
